TAZ_index_1,TAZ_index_2,Dis_TAZ
8,32,2833.835639
8,33,3609.795621
8,34,4475.55856
8,35,5388.007463
8,36,6326.975931
8,37,7282.21288
8,38,8248.067921
8,39,9221.20515
8,40,10199.5404
8,41,3011.461076
8,42,3173.152661
8,43,3615.093057
8,44,4250.752617
8,45,5006.885041
8,46,5836.856843
8,47,6713.337308
8,48,7620.295126
8,49,8548.034734
8,50,9490.463519
8,51,10443.60559
8,52,4015.279851
8,53,4137.930918
8,54,4485.807874
8,55,5012.232266
8,56,5667.669034
8,57,6412.680585
8,58,7219.589482
8,59,8069.849582
8,60,8951.115701
8,61,9855.073429
8,62,10776.01375
8,63,5019.097836
8,64,5117.747853
8,65,5402.901358
8,66,5847.336409
8,67,6418.04823
8,68,7084.584891
8,69,7822.489571
8,70,8613.439678
8,71,9444.11685
8,72,10304.91839
8,73,11188.89374
9,0,2237.779813
9,1,3163.488342
9,2,4124.034249
9,3,5099.770435
9,4,6083.392022
9,5,7071.609328
9,6,8062.732694
9,7,9055.807998
9,8,1000
9,9,0
9,10,1000
9,11,2000
9,12,3000
9,13,4000
9,14,5000
9,15,6000
9,16,7000
9,17,8000
9,18,9000
9,19,1416.9181
9,20,1003.82115
9,21,1416.9181
9,22,2237.779458
9,23,3163.488091
9,24,4124.034057
9,25,5099.770279
9,26,6083.391891
9,27,7071.609216
9,28,8062.732595
9,29,9055.80791
9,30,2242.905354
9,31,2007.641508
9,32,2242.905354
9,33,2833.835639
9,34,3609.795621
9,35,4475.55856
9,36,5388.007463
9,37,6326.975931
9,38,7282.21288
9,39,8248.067921
9,40,9221.20515
9,41,3173.152661
9,42,3011.461076
9,43,3173.152661
9,44,3615.093057
9,45,4250.752617
9,46,5006.885041
9,47,5836.856843
9,48,6713.337308
9,49,7620.295126
9,50,8548.034734
9,51,9490.463519
9,52,4137.930918
9,53,4015.279851
9,54,4137.930918
9,55,4485.807874
9,56,5012.232266
9,57,5667.669034
9,58,6412.680585
9,59,7219.589482
9,60,8069.849582
9,61,8951.115701
9,62,9855.073429
9,63,5117.747853
9,64,5019.097836
9,65,5117.747853
9,66,5402.901358
9,67,5847.336409
9,68,6418.04823
9,69,7084.584891
9,70,7822.489571
9,71,8613.439678
9,72,9444.11685
9,73,10304.91839
10,0,1416.91866
10,1,2237.779813
10,2,3163.488342
10,3,4124.034249
10,4,5099.770435
10,5,6083.392022
10,6,7071.609328
10,7,8062.732694
10,8,2000
10,9,1000
10,10,0
10,11,1000
10,12,2000
10,13,3000
10,14,4000
10,15,5000
10,16,6000
10,17,7000
10,18,8000
10,19,2237.779458
10,20,1416.9181
10,21,1003.82115
10,22,1416.9181
10,23,2237.779458
10,24,3163.488091
10,25,4124.034057
10,26,5099.770279
10,27,6083.391891
10,28,7071.609216
10,29,8062.732595
10,30,2833.835639
10,31,2242.905354
10,32,2007.641508
10,33,2242.905354
10,34,2833.835639
10,35,3609.795621
10,36,4475.55856
10,37,5388.007463
10,38,6326.975931
10,39,7282.21288
10,40,8248.067921
10,41,3615.093057
10,42,3173.152661
10,43,3011.461076
10,44,3173.152661
10,45,3615.093057
10,46,4250.752617
10,47,5006.885041
10,48,5836.856843
10,49,6713.337308
10,50,7620.295126
10,51,8548.034734
10,52,4485.807874
10,53,4137.930918
10,54,4015.279851
10,55,4137.930918
10,56,4485.807874
10,57,5012.232266
10,58,5667.669034
10,59,6412.680585
10,60,7219.589482
10,61,8069.849582
10,62,8951.115701
10,63,5402.901358
10,64,5117.747853
10,65,5019.097836
10,66,5117.747853
10,67,5402.901358
10,68,5847.336409
10,69,6418.04823
10,70,7084.584891
10,71,7822.489571
10,72,8613.439678
10,73,9444.11685
11,0,1003.821941
11,1,1416.91866
11,2,2237.779813
11,3,3163.488342
11,4,4124.034249
11,5,5099.770435
11,6,6083.392022
11,7,7071.609328
11,8,3000
11,9,2000
11,10,1000
11,11,0
11,12,1000
11,13,2000
11,14,3000
11,15,4000
11,16,5000
11,17,6000
11,18,7000
11,19,3163.488091
11,20,2237.779458
11,21,1416.9181
11,22,1003.82115
11,23,1416.9181
11,24,2237.779458
11,25,3163.488091
11,26,4124.034057
11,27,5099.770279
11,28,6083.391891
11,29,7071.609216
11,30,3609.795621
11,31,2833.835639
11,32,2242.905354
11,33,2007.641508
11,34,2242.905354
11,35,2833.835639
11,36,3609.795621
11,37,4475.55856
11,38,5388.007463
11,39,6326.975931
11,40,7282.21288
11,41,4250.752617
11,42,3615.093057
11,43,3173.152661
11,44,3011.461076
11,45,3173.152661
11,46,3615.093057
11,47,4250.752617
11,48,5006.885041
11,49,5836.856843
11,50,6713.337308
11,51,7620.295126
11,52,5012.232266
11,53,4485.807874
11,54,4137.930918
11,55,4015.279851
11,56,4137.930918
11,57,4485.807874
11,58,5012.232266
11,59,5667.669034
11,60,6412.680585
11,61,7219.589482
11,62,8069.849582
11,63,5847.336409
11,64,5402.901358
11,65,5117.747853
11,66,5019.097836
11,67,5117.747853
11,68,5402.901358
11,69,5847.336409
11,70,6418.04823
11,71,7084.584891
11,72,7822.489571
11,73,8613.439678
12,0,1416.91866
12,1,1003.821941
12,2,1416.91866
12,3,2237.779813
12,4,3163.488342
12,5,4124.034249
12,6,5099.770435
12,7,6083.392022
12,8,4000
12,9,3000
12,10,2000
12,11,1000
12,12,0
12,13,1000
12,14,2000
12,15,3000
12,16,4000
12,17,5000
12,18,6000
12,19,4124.034057
12,20,3163.488091
12,21,2237.779458
12,22,1416.9181
12,23,1003.82115
12,24,1416.9181
12,25,2237.779458
12,26,3163.488091
12,27,4124.034057
12,28,5099.770279
12,29,6083.391891
12,30,4475.55856
12,31,3609.795621
12,32,2833.835639
12,33,2242.905354
12,34,2007.641508
12,35,2242.905354
12,36,2833.835639
12,37,3609.795621
12,38,4475.55856
12,39,5388.007463
12,40,6326.975931
12,41,5006.885041
12,42,4250.752617
12,43,3615.093057
12,44,3173.152661
12,45,3011.461076
12,46,3173.152661
12,47,3615.093057
12,48,4250.752617
12,49,5006.885041
12,50,5836.856843
12,51,6713.337308
12,52,5667.669034
12,53,5012.232266
12,54,4485.807874
12,55,4137.930918
12,56,4015.279851
12,57,4137.930918
12,58,4485.807874
12,59,5012.232266
12,60,5667.669034
12,61,6412.680585
12,62,7219.589482
12,63,6418.04823
12,64,5847.336409
12,65,5402.901358
12,66,5117.747853
12,67,5019.097836
12,68,5117.747853
12,69,5402.901358
12,70,5847.336409
12,71,6418.04823
12,72,7084.584891
12,73,7822.489571
13,0,2237.779813
13,1,1416.91866
13,2,1003.821941
13,3,1416.91866
13,4,2237.779813
13,5,3163.488342
13,6,4124.034249
13,7,5099.770435
13,8,5000
13,9,4000
13,10,3000
13,11,2000
13,12,1000
13,13,0
13,14,1000
13,15,2000
13,16,3000
13,17,4000
13,18,5000
13,19,5099.770279
13,20,4124.034057
13,21,3163.488091
13,22,2237.779458
13,23,1416.9181
13,24,1003.82115
13,25,1416.9181
13,26,2237.779458
13,27,3163.488091
13,28,4124.034057
13,29,5099.770279
13,30,5388.007463
13,31,4475.55856
13,32,3609.795621
13,33,2833.835639
13,34,2242.905354
13,35,2007.641508
13,36,2242.905354
13,37,2833.835639
13,38,3609.795621
13,39,4475.55856
13,40,5388.007463
13,41,5836.856843
13,42,5006.885041
13,43,4250.752617
13,44,3615.093057
13,45,3173.152661
13,46,3011.461076
13,47,3173.152661
13,48,3615.093057
13,49,4250.752617
13,50,5006.885041
13,51,5836.856843
13,52,6412.680585
13,53,5667.669034
13,54,5012.232266
13,55,4485.807874
13,56,4137.930918
13,57,4015.279851
13,58,4137.930918
13,59,4485.807874
13,60,5012.232266
13,61,5667.669034
13,62,6412.680585
13,63,7084.584891
13,64,6418.04823
13,65,5847.336409
13,66,5402.901358
13,67,5117.747853
13,68,5019.097836
13,69,5117.747853
13,70,5402.901358
13,71,5847.336409
13,72,6418.04823
13,73,7084.584891
14,0,3163.488342
14,1,2237.779813
14,2,1416.91866
14,3,1003.821941
14,4,1416.91866
14,5,2237.779813
14,6,3163.488342
14,7,4124.034249
14,8,6000
14,9,5000
14,10,4000
14,11,3000
14,12,2000
14,13,1000
14,14,0
14,15,1000
14,16,2000
14,17,3000
14,18,4000
14,19,6083.391891
14,20,5099.770279
14,21,4124.034057
14,22,3163.488091
14,23,2237.779458
14,24,1416.9181
14,25,1003.82115
14,26,1416.9181
14,27,2237.779458
14,28,3163.488091
14,29,4124.034057
14,30,6326.975931
14,31,5388.007463
14,32,4475.55856
14,33,3609.795621
14,34,2833.835639
14,35,2242.905354
14,36,2007.641508
14,37,2242.905354
14,38,2833.835639
14,39,3609.795621
14,40,4475.55856
14,41,6713.337308
14,42,5836.856843
14,43,5006.885041
14,44,4250.752617
14,45,3615.093057
14,46,3173.152661
14,47,3011.461076
14,48,3173.152661
14,49,3615.093057
14,50,4250.752617
14,51,5006.885041
14,52,7219.589482
14,53,6412.680585
14,54,5667.669034
14,55,5012.232266
14,56,4485.807874
14,57,4137.930918
14,58,4015.279851
14,59,4137.930918
14,60,4485.807874
14,61,5012.232266
14,62,5667.669034
14,63,7822.489571
14,64,7084.584891
14,65,6418.04823
14,66,5847.336409
14,67,5402.901358
14,68,5117.747853
14,69,5019.097836
14,70,5117.747853
14,71,5402.901358
14,72,5847.336409
14,73,6418.04823
15,0,4124.034249
15,1,3163.488342
15,2,2237.779813
15,3,1416.91866
15,4,1003.821941
15,5,1416.91866
15,6,2237.779813
15,7,3163.488342
15,8,7000
15,9,6000
15,10,5000
15,11,4000
15,12,3000
15,13,2000
15,14,1000
15,15,0
15,16,1000
15,17,2000
15,18,3000
15,19,7071.609216
15,20,6083.391891
15,21,5099.770279
15,22,4124.034057
15,23,3163.488091
15,24,2237.779458
15,25,1416.9181
15,26,1003.82115
15,27,1416.9181
15,28,2237.779458
15,29,3163.488091
15,30,7282.21288
15,31,6326.975931
15,32,5388.007463
15,33,4475.55856
15,34,3609.795621
15,35,2833.835639
15,36,2242.905354
15,37,2007.641508
